pair,dir,entry,exit,sl,tp,lots,result,pnl_pips,pnl_usd,equity,opened_at,closed_at,confidence,agreement
USD/CHF,-1,0.806,0.80416,0.80731,0.80416,0.87,TP,18.4,160.08,10160.08,2025-12-10 05:00:00+00:00,2025-12-10 08:00:00+00:00,0.6848017103891738,1.0
USD/CHF,-1,0.80523,0.80359,0.8064,0.80359,0.98,TP,16.3,159.9,10319.98,2025-12-10 11:00:00+00:00,2025-12-10 13:00:00+00:00,0.7501511267607157,1.0
USD/CHF,-1,0.80312,0.80134,0.80438,0.80134,0.92,TP,17.8,163.3,10483.28,2025-12-10 14:00:00+00:00,2025-12-10 19:00:00+00:00,0.6263516190125966,1.0
USD/CHF,-1,0.79949,0.79726,0.80102,0.79726,0.76,TP,22.3,169.36,10652.64,2025-12-11 07:00:00+00:00,2025-12-11 10:00:00+00:00,0.6412660268580318,1.0
USD/CHF,-1,0.79707,0.79476,0.79865,0.79476,0.75,TP,23.0,172.63,10825.26,2025-12-11 11:00:00+00:00,2025-12-11 14:00:00+00:00,0.6782481199270146,1.0
USD/CHF,-1,0.79523,0.79659,0.79659,0.79328,0.89,SL,-13.6,-121.49,10703.78,2025-12-12 11:00:00+00:00,2025-12-15 00:00:00+00:00,0.6410635682666306,1.0
USD/CHF,-1,0.79646,0.79456,0.79779,0.79456,0.9,TP,18.9,170.55,10874.33,2025-12-15 08:00:00+00:00,2025-12-15 14:00:00+00:00,0.6830461814451804,1.0
USD/CHF,-1,0.79704,0.79481,0.79858,0.79481,0.78,TP,22.3,174.07,11048.4,2025-12-17 12:00:00+00:00,2025-12-17 15:00:00+00:00,0.6586872892943864,1.0
USD/CHF,-1,0.79971,0.8011,0.8011,0.79774,0.89,SL,-13.9,-123.44,10924.95,2026-01-08 19:00:00+00:00,2026-01-09 14:00:00+00:00,0.6448407107098657,1.0
USD/CHF,1,0.79837,0.80011,0.79712,0.80011,0.99,TP,17.4,172.59,11097.54,2026-01-13 12:00:00+00:00,2026-01-13 15:00:00+00:00,0.6249617577432269,1.0
USD/CHF,-1,0.80067,0.80238,0.80238,0.79814,0.71,SL,-17.1,-121.55,10975.99,2026-01-13 21:00:00+00:00,2026-01-14 08:00:00+00:00,0.6342544166828217,0.6666666666666666
USD/CHF,1,0.80059,0.80247,0.79927,0.80247,0.93,TP,18.8,174.53,11150.52,2026-01-15 10:00:00+00:00,2026-01-15 13:00:00+00:00,0.6622359503970173,1.0
USD/CHF,-1,0.80345,0.80104,0.8051,0.80104,0.75,TP,24.1,181.0,11331.51,2026-01-15 21:00:00+00:00,2026-01-16 11:00:00+00:00,0.6707123697985182,1.0
USD/CHF,-1,0.79619,0.79439,0.79747,0.79439,1.0,TP,18.0,180.0,11511.51,2026-01-20 06:00:00+00:00,2026-01-20 07:00:00+00:00,0.6652238250771346,1.0
USD/CHF,-1,0.78993,0.79143,0.79143,0.78778,0.86,SL,-14.9,-128.31,11383.2,2026-01-23 05:00:00+00:00,2026-01-23 10:00:00+00:00,0.6555711910789338,1.0
USD/CHF,-1,0.79027,0.78813,0.79175,0.78813,0.86,TP,21.4,183.75,11566.95,2026-01-23 11:00:00+00:00,2026-01-23 16:00:00+00:00,0.7516374746386933,1.0
USD/CHF,-1,0.7774,0.77417,0.77953,0.77417,0.59,TP,32.3,190.28,11757.23,2026-01-27 07:00:00+00:00,2026-01-27 12:00:00+00:00,0.6312309430993229,0.6666666666666666
